time,soi,nino
1982-01-01,9.4,none
1982-02-01,0.6,none
1982-03-01,2.4,none
1982-04-01,-3.8,none
1982-05-01,-8.2,nino
1982-06-01,-20.1,nino
1982-07-01,-19.3,nino
1982-08-01,-23.6,nino
1982-09-01,-21.4,nino
1982-10-01,-20.2,nino
1982-11-01,-31.1,nino
1982-12-01,-21.3,nino
1983-01-01,-30.6,nino
1983-02-01,-33.3,nino
1983-03-01,-28.0,nino
1983-04-01,-17.0,nino
1983-05-01,6.0,none
1983-06-01,-3.1,none
1983-07-01,-7.6,none
1983-08-01,0.1,none
1983-09-01,9.9,none
1983-10-01,4.2,none
1983-11-01,-0.7,none
1983-12-01,0.1,none
1984-01-01,1.3,none
1984-02-01,5.8,none
1984-03-01,-5.8,none
1984-04-01,2.0,none
1984-05-01,-0.3,none
1984-06-01,-8.7,none
1984-07-01,2.2,none
1984-08-01,2.7,none
1984-09-01,2.0,none
1984-10-01,-5.0,none
1984-11-01,3.9,none
1984-12-01,-1.4,none
1985-01-01,-3.5,none
1985-02-01,6.7,none
1985-03-01,-2.0,none
1985-04-01,14.4,none
1985-05-01,2.8,none
1985-06-01,-9.6,none
1985-07-01,-2.3,none
1985-08-01,8.5,none
1985-09-01,0.2,none
1985-10-01,-5.6,none
1985-11-01,-1.4,none
1985-12-01,2.1,none
1986-01-01,8.0,none
1986-02-01,-10.7,nino
1986-03-01,0.8,none
1986-04-01,1.2,none
1986-05-01,-6.6,none
1986-06-01,10.7,nina
1986-07-01,2.2,none
1986-08-01,-7.6,none
1986-09-01,-5.2,none
1986-10-01,6.1,none
1986-11-01,-13.9,nino
1986-12-01,-13.6,nino
1987-01-01,-6.3,nino
1987-02-01,-12.6,nino
1987-03-01,-16.6,nino
1987-04-01,-24.4,nino
1987-05-01,-21.6,nino
1987-06-01,-20.1,nino
1987-07-01,-18.6,nino
1987-08-01,-14.0,nino
1987-09-01,-11.2,nino
1987-10-01,-5.6,none
1987-11-01,-1.4,none
1987-12-01,-4.5,none
1988-01-01,-1.1,none
1988-02-01,-5.0,none
1988-03-01,2.4,none
1988-04-01,-1.3,none
1988-05-01,10.0,none
1988-06-01,-3.9,none
1988-07-01,11.3,nina
1988-08-01,14.9,nina
1988-09-01,20.1,nina
1988-10-01,14.6,nina
1988-11-01,21.0,nina
1988-12-01,10.8,nina
1989-01-01,13.2,nina
1989-02-01,9.1,nina
1989-03-01,6.7,nina
1989-04-01,21.0,nina
1989-05-01,14.7,nina
1989-06-01,7.4,nina
1989-07-01,9.4,nina
1989-08-01,-6.3,nino
1989-09-01,5.7,none
1989-10-01,7.3,none
1989-11-01,-2.0,none
1989-12-01,-5.0,none
1990-01-01,-1.1,none
1990-02-01,-17.3,nino
1990-03-01,-8.5,nino
1990-04-01,-0.5,none
1990-05-01,13.1,none
1990-06-01,1.0,none
1990-07-01,5.5,none
1990-08-01,-5.0,none
1990-09-01,-7.6,none
1990-10-01,1.8,none
1990-11-01,-5.3,none
1990-12-01,-2.4,none
1991-01-01,5.1,none
1991-02-01,0.6,none
