YEAR,MONTH,DATE,SBC_SITE,LOCATION,COUNT,ACTIVITY,NOTES
2007,5,5/1/2007,MOHK,MOHK,0,NA,NA
2007,5,5/2/2007,ABUR,ABUR,0,NA,NA
2007,5,5/2/2007,MOHK,MOHK,0,NA,NA
2007,5,5/7/2007,MOHK,MOHK,1,FEEDING,SOUTHEAST OF INSIDE SPAR BUOY
2007,5,5/8/2007,AQUE,AQUE,0,NA,NA
2007,5,5/13/2007,MOHK,MOHK,0,NA,NA
2007,5,5/14/2007,MOHK,MOHK,0,NA,NA
2007,5,5/15/2007,MOHK,MOHK,0,NA,NA
2007,5,5/16/2007,GOLB,MOORE MESA,1,FEEDING,NA
2007,5,5/22/2007,MOHK,MOHK,0,NA,NA
2007,5,5/23/2007,MOHK,MOHK,0,NA,NA
2007,5,5/24/2007,SCTW,SCTW,0,NA,NA
2007,5,5/24/2007,SCDI,SCDI,0,NA,NA
2007,5,5/25/2007,MOHK,MOHK,0,NA,NA
2007,5,5/30/2007,MOHK,MOHK,0,NA,NA
2007,6,6/4/2007,MOHK,MOHK,0,NA,NA
2007,6,6/4/2007,ABUR,ABUR,0,NA,NA
2007,6,6/7/2007,AQUE,AQUE,0,NA,NA
2007,6,6/8/2007,MOHK,MOHK,0,NA,NA
2007,6,6/12/2007,MOHK,MOHK,0,NA,NA
2007,6,6/13/2007,MOHK,MOHK,0,NA,NA
2007,6,6/19/2007,MOHK,MOHK,0,NA,NA
2007,6,6/21/2007,MOHK,MOHK,0,NA,NA
2007,6,6/21/2007,GOLB,GOLB,0,NA,NA
2007,6,6/25/2007,AQUE,AQUE,0,NA,NA
2007,6,6/25/2007,NAPL,NAPL,0,NA,NA
2007,6,6/26/2007,BULL,BULL,0,NA,NA
2007,6,6/26/2007,AHND,AHND,0,NA,NA
2007,6,6/26/2007,AHND,AHND,1,FEEDING,NA
2007,6,6/26/2007,NAPL,NAPL,0,NA,NA
2007,6,6/28/2007,MOHK,SHORELINE DRIVE,1,PREENING,NA
2007,7,7/2/2007,AQUE,AQUE,0,NA,NA
2007,7,7/3/2007,NAPL,NAPL,0,NA,NA
2007,7,7/3/2007,NAPL,NAPL,0,NA,NA
2007,7,7/5/2007,CARP,CARP,0,NA,NA
2007,7,7/9/2007,ABUR,ABUR,0,NA,NA
2007,7,7/9/2007,MOHK,MOHK,0,NA,NA
2007,7,7/10/2007,CARP,CARP,0,NA,NA
2007,7,7/10/2007,SCTW,ORIZABA REEF,0,NA,NA
2007,7,7/12/2007,MOHK,MOHK,0,NA,NA
2007,7,7/16/2007,MOHK,MOHK,0,NA,NA
2007,7,7/16/2007,GOLB,GOLB,0,NA,NA
2007,7,7/17/2007,NAPL,NAPL,0,NA,NA
2007,7,7/17/2007,AQUE,AQUE,0,NA,NA
2007,7,7/18/2007,CARP,CARP,0,NA,NA
2007,7,7/19/2007,BULL,BULL,0,NA,NA
2007,7,7/19/2007,AHND,AHND,0,NA,NA
2007,7,7/20/2007,MOHK,MOHK,0,NA,NA
2007,7,7/20/2007,IVEE,IVEE,0,NA,NA
2007,7,7/20/2007,ABUR,ABUR,0,NA,NA
2007,7,7/23/2007,NAPL,NAPL,0,NA,NA
2007,7,7/24/2007,NAPL,NAPL,0,NA,NA
2007,7,7/25/2007,CARP,CARP,0,NA,NA
2007,7,7/26/2007,SCTW,SCTW,0,NA,NA
2007,7,7/26/2007,SCDI,SCDI,0,NA,NA
2007,8,8/1/2007,AQUE,AQUE,0,NA,NA
2007,8,8/2/2007,MOHK,MOHK,0,NA,NA
2007,8,8/2/2007,ABUR,ABUR,0,NA,NA
2007,8,8/8/2007,MOHK,MOHK,0,NA,NA
2007,8,8/17/2007,AQUE,AQUE,0,NA,NA
2007,8,8/17/2007,NAPL,NAPL,0,NA,NA
2007,8,8/17/2007,MOHK,MOHK,0,NA,NA
2007,8,8/17/2007,CARP,CARP,0,NA,NA
2007,8,8/20/2007,CARP,CARP,0,NA,NA
2007,8,8/23/2007,MOHK,MOHK,0,NA,NA
2007,8,8/30/2007,AQUE,AQUE,0,NA,NA
2007,9,9/5/2007,MOHK,MOHK,0,NA,NA
2007,9,9/7/2007,MOHK,MOHK,0,NA,NA
2007,9,9/7/2007,ABUR,ABUR,0,NA,NA
2007,9,9/10/2007,MOHK,MOHK,0,NA,NA
2007,9,9/10/2007,ABUR,ABUR,0,NA,NA
2007,9,9/11/2007,MOHK,MOHK,0,NA,NA
2007,9,9/13/2007,MOHK,MOHK,0,NA,NA
2007,9,9/18/2007,OTHER,MONTECITO,0,NA,NA
2007,9,9/18/2007,MOHK,MOHK,0,NA,NA
2007,9,9/19/2007,AQUE,AQUE,0,NA,NA
2007,9,9/19/2007,NAPL,NAPL,0,NA,NA
2007,9,9/29/2007,MOHK,MOHK,0,NA,NA
2007,9,9/29/2007,ABUR,ABUR,0,NA,NA
2007,10,10/8/2007,AQUE,AQUE,0,NA,NA
2007,10,10/10/2007,MOHK,MOHK,0,NA,NA
2007,10,10/12/2007,ABUR,ABUR,0,NA,NA
