lon,lat,doy,seas,thresh
-120.125,34.125,1,13.98,15.2
-120.125,34.125,2,13.96,15.17
-120.125,34.125,3,13.95,15.15
-120.125,34.125,4,13.93,15.13
-120.125,34.125,5,13.92,15.11
-120.125,34.125,6,13.91,15.08
-120.125,34.125,7,13.89,15.06
-120.125,34.125,8,13.88,15.04
-120.125,34.125,9,13.87,15.03
-120.125,34.125,10,13.86,15.01
-120.125,34.125,11,13.85,14.99
-120.125,34.125,12,13.85,14.98
-120.125,34.125,13,13.84,14.97
-120.125,34.125,14,13.83,14.95
-120.125,34.125,15,13.82,14.94
-120.125,34.125,16,13.81,14.93
-120.125,34.125,17,13.81,14.91
-120.125,34.125,18,13.8,14.9
-120.125,34.125,19,13.8,14.89
-120.125,34.125,20,13.79,14.89
-120.125,34.125,21,13.79,14.9
-120.125,34.125,22,13.78,14.89
-120.125,34.125,23,13.78,14.89
-120.125,34.125,24,13.78,14.89
-120.125,34.125,25,13.77,14.9
-120.125,34.125,26,13.77,14.9
-120.125,34.125,27,13.77,14.91
-120.125,34.125,28,13.77,14.91
-120.125,34.125,29,13.77,14.91
-120.125,34.125,30,13.76,14.91
-120.125,34.125,31,13.76,14.91
-120.125,34.125,32,13.75,14.91
-120.125,34.125,33,13.75,14.91
-120.125,34.125,34,13.74,14.91
-120.125,34.125,35,13.74,14.9
-120.125,34.125,36,13.73,14.9
-120.125,34.125,37,13.72,14.9
-120.125,34.125,38,13.72,14.89
-120.125,34.125,39,13.71,14.89
-120.125,34.125,40,13.71,14.89
-120.125,34.125,41,13.7,14.88
-120.125,34.125,42,13.69,14.88
-120.125,34.125,43,13.69,14.88
-120.125,34.125,44,13.69,14.88
-120.125,34.125,45,13.68,14.88
-120.125,34.125,46,13.67,14.88
-120.125,34.125,47,13.67,14.88
-120.125,34.125,48,13.66,14.88
-120.125,34.125,49,13.66,14.88
-120.125,34.125,50,13.65,14.88
-120.125,34.125,51,13.64,14.88
-120.125,34.125,52,13.64,14.88
-120.125,34.125,53,13.63,14.88
-120.125,34.125,54,13.62,14.88
-120.125,34.125,55,13.61,14.88
-120.125,34.125,56,13.61,14.88
-120.125,34.125,57,13.6,14.88
-120.125,34.125,58,13.59,14.88
-120.125,34.125,59,13.58,14.88
-120.125,34.125,60,13.57,14.88
-120.125,34.125,61,13.56,14.88
-120.125,34.125,62,13.55,14.89
-120.125,34.125,63,13.54,14.89
-120.125,34.125,64,13.53,14.89
-120.125,34.125,65,13.52,14.88
-120.125,34.125,66,13.5,14.88
-120.125,34.125,67,13.49,14.88
-120.125,34.125,68,13.48,14.87
-120.125,34.125,69,13.47,14.87
-120.125,34.125,70,13.46,14.86
-120.125,34.125,71,13.44,14.85
-120.125,34.125,72,13.43,14.84
-120.125,34.125,73,13.42,14.83
-120.125,34.125,74,13.41,14.81
-120.125,34.125,75,13.4,14.8
-120.125,34.125,76,13.38,14.78
-120.125,34.125,77,13.37,14.76
-120.125,34.125,78,13.36,14.74
-120.125,34.125,79,13.35,14.73
-120.125,34.125,80,13.33,14.71
-120.125,34.125,81,13.32,14.69
-120.125,34.125,82,13.3,14.67
-120.125,34.125,83,13.29,14.65
-120.125,34.125,84,13.27,14.63
-120.125,34.125,85,13.25,14.6
-120.125,34.125,86,13.24,14.58
-120.125,34.125,87,13.22,14.56
-120.125,34.125,88,13.2,14.53
-120.125,34.125,89,13.19,14.51
-120.125,34.125,90,13.17,14.49
-120.125,34.125,91,13.15,14.47
-120.125,34.125,92,13.14,14.44
-120.125,34.125,93,13.12,14.42
-120.125,34.125,94,13.11,14.4
-120.125,34.125,95,13.1,14.38
-120.125,34.125,96,13.08,14.36
-120.125,34.125,97,13.07,14.34
-120.125,34.125,98,13.06,14.33
-120.125,34.125,99,13.04,14.31
-120.125,34.125,100,13.03,14.3
-120.125,34.125,101,13.02,14.29
-120.125,34.125,102,13.01,14.27
-120.125,34.125,103,13,14.26
-120.125,34.125,104,12.99,14.26
-120.125,34.125,105,12.99,14.25
-120.125,34.125,106,12.98,14.26
-120.125,34.125,107,12.98,14.26
-120.125,34.125,108,12.98,14.27
-120.125,34.125,109,12.98,14.28
-120.125,34.125,110,12.98,14.29
-120.125,34.125,111,12.98,14.29
-120.125,34.125,112,12.98,14.3
-120.125,34.125,113,12.99,14.32
-120.125,34.125,114,12.99,14.33
-120.125,34.125,115,13,14.35
-120.125,34.125,116,13,14.36
-120.125,34.125,117,13.01,14.37
-120.125,34.125,118,13.01,14.39
-120.125,34.125,119,13.02,14.4
-120.125,34.125,120,13.03,14.42
-120.125,34.125,121,13.04,14.44
-120.125,34.125,122,13.05,14.45
-120.125,34.125,123,13.07,14.48
-120.125,34.125,124,13.08,14.5
-120.125,34.125,125,13.1,14.53
-120.125,34.125,126,13.12,14.56
-120.125,34.125,127,13.14,14.59
-120.125,34.125,128,13.16,14.63
-120.125,34.125,129,13.19,14.67
-120.125,34.125,130,13.22,14.72
-120.125,34.125,131,13.24,14.76
-120.125,34.125,132,13.27,14.81
-120.125,34.125,133,13.3,14.85
-120.125,34.125,134,13.33,14.9
-120.125,34.125,135,13.36,14.95
-120.125,34.125,136,13.39,14.99
-120.125,34.125,137,13.41,15.04
-120.125,34.125,138,13.44,15.08
-120.125,34.125,139,13.47,15.11
-120.125,34.125,140,13.49,15.15
-120.125,34.125,141,13.52,15.19
-120.125,34.125,142,13.54,15.23
-120.125,34.125,143,13.57,15.26
-120.125,34.125,144,13.6,15.29
-120.125,34.125,145,13.62,15.33
-120.125,34.125,146,13.65,15.36
-120.125,34.125,147,13.69,15.39
-120.125,34.125,148,13.72,15.42
-120.125,34.125,149,13.75,15.45
-120.125,34.125,150,13.79,15.49
-120.125,34.125,151,13.83,15.53
-120.125,34.125,152,13.87,15.56
-120.125,34.125,153,13.92,15.6
-120.125,34.125,154,13.96,15.64
-120.125,34.125,155,14.01,15.67
-120.125,34.125,156,14.05,15.71
-120.125,34.125,157,14.1,15.75
-120.125,34.125,158,14.14,15.78
-120.125,34.125,159,14.19,15.81
-120.125,34.125,160,14.23,15.84
-120.125,34.125,161,14.28,15.87
-120.125,34.125,162,14.33,15.9
-120.125,34.125,163,14.38,15.93
-120.125,34.125,164,14.42,15.97
-120.125,34.125,165,14.47,16
-120.125,34.125,166,14.52,16.04
-120.125,34.125,167,14.57,16.08
-120.125,34.125,168,14.62,16.12
-120.125,34.125,169,14.67,16.16
-120.125,34.125,170,14.73,16.2
-120.125,34.125,171,14.78,16.24
-120.125,34.125,172,14.84,16.29
-120.125,34.125,173,14.9,16.33
-120.125,34.125,174,14.96,16.38
-120.125,34.125,175,15.02,16.44
-120.125,34.125,176,15.08,16.5
-120.125,34.125,177,15.15,16.56
-120.125,34.125,178,15.22,16.63
-120.125,34.125,179,15.28,16.7
-120.125,34.125,180,15.35,16.76
-120.125,34.125,181,15.42,16.83
-120.125,34.125,182,15.48,16.89
-120.125,34.125,183,15.55,16.95
-120.125,34.125,184,15.61,17.01
-120.125,34.125,185,15.66,17.08
-120.125,34.125,186,15.72,17.15
-120.125,34.125,187,15.78,17.22
-120.125,34.125,188,15.83,17.29
-120.125,34.125,189,15.89,17.37
-120.125,34.125,190,15.94,17.44
-120.125,34.125,191,16,17.51
-120.125,34.125,192,16.05,17.58
-120.125,34.125,193,16.1,17.65
-120.125,34.125,194,16.15,17.72
-120.125,34.125,195,16.2,17.79
-120.125,34.125,196,16.26,17.86
-120.125,34.125,197,16.31,17.93
-120.125,34.125,198,16.36,18
-120.125,34.125,199,16.41,18.06
-120.125,34.125,200,16.45,18.12
-120.125,34.125,201,16.5,18.19
-120.125,34.125,202,16.54,18.25
-120.125,34.125,203,16.59,18.31
-120.125,34.125,204,16.63,18.37
-120.125,34.125,205,16.67,18.44
-120.125,34.125,206,16.7,18.49
-120.125,34.125,207,16.73,18.55
-120.125,34.125,208,16.76,18.61
-120.125,34.125,209,16.79,18.66
-120.125,34.125,210,16.81,18.71
-120.125,34.125,211,16.83,18.77
-120.125,34.125,212,16.85,18.82
-120.125,34.125,213,16.87,18.87
-120.125,34.125,214,16.89,18.92
-120.125,34.125,215,16.9,18.96
-120.125,34.125,216,16.92,19.01
-120.125,34.125,217,16.93,19.05
-120.125,34.125,218,16.95,19.07
