lon,lat,event_no,date_start,date_peak,date_end,duration,intensity_mean,intensity_max,intensity_cumulative
-119.875,34.125,1,1982-09-11,1982-09-11,1982-09-15,5,2.106,2.25,10.53
-119.875,34.125,2,1982-10-20,1982-10-23,1982-10-24,5,1.502,1.71,7.51
-119.875,34.125,3,1982-11-16,1982-11-19,1982-11-21,6,1.608,1.71,9.65
-119.875,34.125,4,1983-01-12,1983-01-15,1983-03-03,51,1.8,2.59,91.79
-119.875,34.125,5,1983-03-08,1983-03-11,1983-03-13,6,1.955,2.32,11.73
-119.875,34.125,6,1983-06-26,1983-06-28,1983-07-01,6,1.833,2,11
-119.875,34.125,7,1983-08-07,1983-08-22,1983-08-24,18,2.927,3.33,52.69
-119.875,34.125,8,1983-09-17,1983-11-02,1983-11-20,65,2.515,3.47,163.51
-119.875,34.125,9,1984-02-03,1984-02-10,1984-02-16,14,1.724,2.12,24.14
-119.875,34.125,10,1984-03-10,1984-03-21,1984-03-23,14,1.992,3.14,27.89
-119.875,34.125,11,1984-05-20,1984-05-27,1984-06-02,14,2.755,3.38,38.57
-119.875,34.125,12,1984-06-24,1984-06-25,1984-06-28,5,1.862,1.97,9.31
-119.875,34.125,13,1984-07-16,1984-07-19,1984-07-21,6,2.902,3.35,17.41
-119.875,34.125,14,1984-08-15,1984-09-18,1984-09-21,38,3.282,4.5,124.71
-119.875,34.125,15,1984-09-26,1984-09-29,1984-09-30,5,2.294,2.73,11.47
-119.875,34.125,16,1986-11-27,1986-12-09,1986-12-31,35,1.73,2.23,60.56
-119.875,34.125,17,1987-04-24,1987-05-09,1987-05-10,17,1.869,2.73,31.78
-119.875,34.125,18,1987-05-16,1987-05-21,1987-05-24,9,2.238,2.53,20.14
-119.875,34.125,19,1987-10-26,1987-10-29,1987-10-30,5,1.814,1.98,9.07
-119.875,34.125,20,1988-04-05,1988-04-09,1988-04-14,10,1.946,2.63,19.46
-119.875,34.125,21,1989-12-19,1989-12-25,1989-12-30,12,1.52,1.76,18.24
-119.875,34.125,22,1990-04-20,1990-04-23,1990-04-24,5,1.796,2.18,8.98
-119.875,34.125,23,1990-05-04,1990-05-11,1990-05-11,8,2.036,2.26,16.29
-119.875,34.125,24,1990-10-24,1990-10-25,1990-11-01,9,1.664,2.12,14.98
-119.875,34.125,25,1992-02-25,1992-02-27,1992-03-01,6,1.595,1.82,9.57
-119.875,34.125,26,1992-03-08,1992-04-11,1992-04-21,45,2.233,3.14,100.5
-119.875,34.125,27,1992-04-25,1992-05-05,1992-05-06,12,2.002,2.46,24.03
-119.875,34.125,28,1992-05-10,1992-05-12,1992-05-18,9,2.442,3.24,21.98
-119.875,34.125,29,1992-05-22,1992-05-30,1992-06-06,16,2.119,2.85,33.91
-119.875,34.125,30,1992-10-22,1992-10-23,1992-10-26,5,1.494,1.59,7.47
-119.875,34.125,31,1992-11-12,1992-11-15,1992-11-18,7,1.847,2.24,12.93
-119.875,34.125,32,1993-06-18,1993-06-26,1993-08-05,49,2.229,3.7,109.22
-119.875,34.125,33,1995-02-24,1995-02-28,1995-03-04,9,1.394,1.5,12.55
