lon,lat,event_no,date_start,date_peak,date_end,duration,intensity_mean,intensity_max,intensity_cumulative
146.625,-16.125,1,1982-03-08,1982-03-13,1982-03-16,9,1.437,1.73,12.93
146.625,-16.125,2,1983-06-05,1983-06-12,1983-06-16,12,1.044,1.2,12.53
146.625,-16.125,3,1983-10-15,1983-10-17,1983-10-19,5,1.596,2.13,7.98
146.625,-16.125,4,1983-11-09,1983-11-10,1983-11-13,5,1.676,1.96,8.38
146.625,-16.125,5,1984-01-31,1984-02-03,1984-02-07,8,1.105,1.22,8.84
146.625,-16.125,6,1987-01-26,1987-01-31,1987-02-03,9,1.291,1.59,11.62
146.625,-16.125,7,1988-04-06,1988-04-11,1988-04-11,6,1.273,1.44,7.64
146.625,-16.125,8,1988-10-17,1988-10-18,1988-10-29,13,1.245,1.52,16.19
146.625,-16.125,9,1988-11-24,1988-11-25,1988-12-01,8,1.688,1.88,13.5
146.625,-16.125,10,1992-03-16,1992-03-18,1992-03-21,6,1.335,1.74,8.01
146.625,-16.125,11,1995-02-16,1995-02-16,1995-02-23,8,1.386,1.93,11.09
146.625,-16.125,12,1995-11-23,1995-11-24,1995-11-27,5,1.48,1.76,7.4
146.625,-16.125,13,1995-12-02,1995-12-06,1995-12-06,5,1.864,2.24,9.32
146.625,-16.125,14,1996-04-14,1996-04-15,1996-04-27,14,1.282,1.75,17.95
146.625,-16.125,15,1996-05-01,1996-05-01,1996-05-13,13,1.306,2,16.98
146.625,-16.125,16,1996-07-01,1996-07-02,1996-07-06,6,1.245,1.36,7.47
146.625,-16.125,17,1996-07-10,1996-07-13,1996-07-15,6,1.303,1.59,7.82
146.625,-16.125,18,1996-08-04,1996-08-04,1996-08-10,7,1.196,1.28,8.37
146.625,-16.125,19,1997-01-08,1997-01-08,1997-01-13,6,1.228,1.26,7.37
146.625,-16.125,20,1997-12-21,1997-12-29,1998-01-05,16,1.693,2.01,27.09
146.625,-16.125,21,1998-05-19,1998-05-26,1998-05-29,11,1.377,1.65,15.15
146.625,-16.125,22,1998-06-04,1998-06-07,1998-06-08,5,1.266,1.63,6.33
146.625,-16.125,23,1998-07-29,1998-08-08,1998-08-15,18,1.416,2.55,25.48
146.625,-16.125,24,1998-09-03,1998-09-08,1998-09-18,16,1.437,1.96,22.99
146.625,-16.125,25,1998-10-12,1998-10-13,1998-10-16,5,1.742,2.45,8.71
146.625,-16.125,26,1998-10-20,1998-10-20,1998-11-01,13,1.444,1.79,18.77
146.625,-16.125,27,2000-05-03,2000-05-03,2000-05-08,6,1.165,1.29,6.99
146.625,-16.125,28,2000-11-03,2000-11-05,2000-11-08,6,1.228,1.42,7.37
146.625,-16.125,29,2001-03-06,2001-03-09,2001-03-13,8,1.692,2.16,13.54
146.625,-16.125,30,2001-03-18,2001-03-21,2001-03-27,10,1.44,1.81,14.4
146.625,-16.125,31,2001-06-11,2001-06-13,2001-06-16,6,1.067,1.33,6.4
146.625,-16.125,32,2001-12-25,2002-01-08,2002-01-11,18,1.722,2.28,31
146.625,-16.125,33,2002-01-28,2002-01-31,2002-02-11,15,1.764,2.43,26.46
146.625,-16.125,34,2002-04-21,2002-04-24,2002-04-26,6,1.19,1.43,7.14
146.625,-16.125,35,2003-02-24,2003-02-27,2003-03-02,7,1.257,1.43,8.8
146.625,-16.125,36,2003-03-23,2003-03-23,2003-03-29,7,1.124,1.32,7.87
146.625,-16.125,37,2003-06-05,2003-06-08,2003-06-10,6,1.015,1.19,6.09
146.625,-16.125,38,2003-09-14,2003-09-16,2003-09-18,5,1.176,1.44,5.88
146.625,-16.125,39,2004-01-29,2004-02-02,2004-02-03,6,1.347,1.64,8.08
146.625,-16.125,40,2004-02-21,2004-02-27,2004-03-12,21,1.407,2,29.55
146.625,-16.125,41,2005-01-30,2005-02-01,2005-02-03,5,1.332,1.68,6.66
146.625,-16.125,42,2005-02-11,2005-02-14,2005-02-15,5,1.324,1.41,6.62
146.625,-16.125,43,2005-03-23,2005-03-29,2005-04-01,10,1.477,1.7,14.77
146.625,-16.125,44,2005-10-22,2005-10-23,2005-10-29,8,1.812,2.22,14.5
146.625,-16.125,45,2005-11-30,2005-12-05,2005-12-09,10,1.783,2.5,17.83
146.625,-16.125,46,2005-12-14,2005-12-19,2005-12-19,6,1.592,2.13,9.55
146.625,-16.125,47,2006-01-30,2006-02-01,2006-02-03,5,1.344,1.7,6.72
146.625,-16.125,48,2006-04-24,2006-04-27,2006-04-28,5,1.19,1.39,5.95
146.625,-16.125,49,2007-01-30,2007-02-03,2007-02-04,6,1.132,1.24,6.79
146.625,-16.125,50,2008-09-16,2008-09-16,2008-09-21,6,1.045,1.1,6.27
146.625,-16.125,51,2008-11-05,2008-11-09,2008-11-10,6,1.225,1.54,7.35
146.625,-16.125,52,2008-11-19,2008-11-25,2008-12-01,13,1.845,2.74,23.99
146.625,-16.125,53,2008-12-09,2008-12-15,2008-12-17,9,1.601,1.97,14.41
146.625,-16.125,54,2009-01-01,2009-01-03,2009-01-10,10,1.625,1.85,16.25
146.625,-16.125,55,2009-02-17,2009-02-18,2009-02-21,5,1.116,1.39,5.58
146.625,-16.125,56,2009-06-26,2009-07-10,2009-07-28,33,1.489,1.94,49.15
146.625,-16.125,57,2009-08-07,2009-08-08,2009-08-14,8,0.972,1.01,7.78
146.625,-16.125,58,2009-08-29,2009-08-31,2009-09-03,6,1.052,1.16,6.31
146.625,-16.125,59,2009-09-08,2009-09-10,2009-09-13,6,1.227,1.36,7.36
146.625,-16.125,60,2010-03-04,2010-03-08,2010-03-12,9,1.781,2.36,16.03
146.625,-16.125,61,2010-04-27,2010-04-28,2010-05-01,5,1.396,1.62,6.98
146.625,-16.125,62,2010-05-09,2010-05-17,2010-06-19,42,1.274,1.67,53.5
146.625,-16.125,63,2010-06-26,2010-06-29,2010-06-30,5,1.138,1.24,5.69
146.625,-16.125,64,2010-07-04,2010-07-07,2010-07-14,11,1.083,1.23,11.91
146.625,-16.125,65,2010-07-18,2010-08-03,2010-08-05,19,1.164,1.65,22.12
146.625,-16.125,66,2010-08-30,2010-10-08,2010-10-16,48,1.486,2.08,71.35
146.625,-16.125,67,2010-12-02,2010-12-05,2010-12-07,6,1.58,1.94,9.48
146.625,-16.125,68,2010-12-11,2010-12-19,2010-12-28,18,2.014,2.38,36.26
146.625,-16.125,69,2011-03-24,2011-03-25,2011-03-29,6,1.113,1.2,6.68
146.625,-16.125,70,2011-10-11,2011-10-15,2011-10-17,7,1.276,1.63,8.93
