time,oni,nino
1982-01-01,-0.24235521,none
1982-02-01,-0.18127882,none
1982-03-01,-0.121133894,none
1982-04-01,-0.08337604,none
1982-05-01,0.20860331,none
1982-06-01,0.53050834,nino
1982-07-01,0.6210241,nino
1982-08-01,0.74695075,nino
1982-09-01,0.91309994,nino
1982-10-01,1.4103801,nino
1982-11-01,1.7463583,nino
1982-12-01,2.0946414,nino
1983-01-01,2.1807957,nino
1983-02-01,2.1281602,nino
1983-03-01,1.7729454,nino
1983-04-01,1.3402184,nino
1983-05-01,1.0069008,nino
1983-06-01,0.7829385,nino
1983-07-01,0.412273,none
1983-08-01,-7.045269e-05,none
1983-09-01,-0.3426705,none
1983-10-01,-0.59199464,nina
1983-11-01,-0.84101474,nina
1983-12-01,-1.0940268,nina
1984-01-01,-1.1179909,nina
1984-02-01,-0.8080535,nina
1984-03-01,-0.60165524,nina
1984-04-01,-0.3839168,none
1984-05-01,-0.5084078,nina
1984-06-01,-0.6339644,nina
1984-07-01,-0.6855251,nina
1984-08-01,-0.64037746,nina
1984-09-01,-0.4662546,none
1984-10-01,-0.5058896,nina
1984-11-01,-0.73484445,nina
1984-12-01,-1.092627,nina
1985-01-01,-1.3281202,nina
1985-02-01,-1.2809777,nina
1985-03-01,-1.093419,nina
1985-04-01,-0.9662403,nina
1985-05-01,-0.9605202,nina
1985-06-01,-0.9712681,nina
1985-07-01,-0.8552729,nina
1985-08-01,-0.7090105,nina
1985-09-01,-0.6518848,nina
1985-10-01,-0.6513909,nina
1985-11-01,-0.58645105,nina
1985-12-01,-0.5045563,nina
1986-01-01,-0.54638344,nina
1986-02-01,-0.7177863,nina
1986-03-01,-0.74758744,nina
1986-04-01,-0.6197301,nina
1986-05-01,-0.4835423,none
1986-06-01,-0.33549142,none
1986-07-01,-0.16321522,none
1986-08-01,0.09242034,none
1986-09-01,0.30045348,none
1986-10-01,0.47363722,none
1986-11-01,0.63267565,nino
1986-12-01,0.78847235,nino
1987-01-01,0.8870529,nino
1987-02-01,0.89031327,nino
1987-03-01,0.8900451,nino
1987-04-01,0.7800865,nino
1987-05-01,0.6688644,nino
1987-06-01,0.6716449,nino
1987-07-01,0.8805566,nino
1987-08-01,1.1682512,nino
1987-09-01,1.3161366,nino
1987-10-01,1.2653514,nino
1987-11-01,1.182584,nino
1987-12-01,1.0015931,nino
1988-01-01,0.84952295,nino
1988-02-01,0.5413962,nino
1988-03-01,0.27810803,none
1988-04-01,-0.082712434,none
1988-05-01,-0.5697814,nina
1988-06-01,-1.1233597,nina
1988-07-01,-1.5183791,nina
1988-08-01,-1.5419964,nina
1988-09-01,-1.3077055,nina
1988-10-01,-1.4210005,nina
1988-11-01,-1.647609,nina
1988-12-01,-2.008334,nina
1989-01-01,-2.046832,nina
1989-02-01,-1.8805015,nina
1989-03-01,-1.7090682,nina
1989-04-01,-1.4167383,nina
1989-05-01,-1.1609855,nina
1989-06-01,-0.83568496,nina
1989-07-01,-0.5665306,nina
1989-08-01,-0.50874954,nina
1989-09-01,-0.49766183,none
1989-10-01,-0.5130762,nina
1989-11-01,-0.4395849,none
1989-12-01,-0.32167202,none
1990-01-01,-0.21847054,none
1990-02-01,-0.09788587,none
1990-03-01,-0.11668985,none
1990-04-01,-0.04104545,none
1990-05-01,0.029964145,none
1990-06-01,0.053995617,none
1990-07-01,0.076148346,none
1990-08-01,0.082840785,none
1990-09-01,0.114459716,none
1990-10-01,0.16196063,none
1990-11-01,0.138295,none
1990-12-01,0.23834524,none
1991-01-01,0.2419163,none
1991-02-01,0.23176299,none
1991-03-01,0.10828109,none
1991-04-01,0.08456403,none
1991-05-01,0.18203387,none
1991-06-01,0.39979172,none
1991-07-01,0.53623766,nino
1991-08-01,0.6448374,nino
1991-09-01,0.5634339,nino
1991-10-01,0.6021346,nino
1991-11-01,0.74461883,nino
1991-12-01,1.1755049,nino
1992-01-01,1.4894545,nino
1992-02-01,1.629525,nino
1992-03-01,1.4938077,nino
1992-04-01,1.3228087,nino
1992-05-01,1.1559954,nino
1992-06-01,0.94118154,nino
1992-07-01,0.6451522,nino
1992-08-01,0.29009935,none
1992-09-01,0.05143857,none
1992-10-01,-0.18949258,none
1992-11-01,-0.17481911,none
1992-12-01,-0.054669976,none
1993-01-01,0.12271019,none
1993-02-01,0.20116556,none
1993-03-01,0.20583588,none
1993-04-01,0.33099923,none
1993-05-01,0.5055306,nino
1993-06-01,0.5372716,nino
1993-07-01,0.49934113,none
1993-08-01,0.24330197,none
1993-09-01,0.21937475,none
1993-10-01,0.1920924,none
1993-11-01,0.2793815,none
1993-12-01,0.24478942,none
1994-01-01,0.13760686,none
1994-02-01,-0.0070582926,none
1994-03-01,-0.009744501,none
1994-04-01,0.07526009,none
1994-05-01,0.20455614,none
1994-06-01,0.25995383,none
1994-07-01,0.2323755,none
1994-08-01,0.32425517,none
1994-09-01,0.3222087,none
1994-10-01,0.5184978,nino
1994-11-01,0.7339319,nino
1994-12-01,1.0556358,nino
1995-01-01,1.0559824,nino
1995-02-01,0.86649656,nino
1995-03-01,0.5436493,nino
1995-04-01,0.37546214,none
1995-05-01,0.1397147,none
1995-06-01,-0.030028224,none
